Time,Background,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10
140,2889,2919.282,2933.494,2913.168,2922.586,2997.35,2903.706,2922.54,3038.289,2966.412,2914.725
141,2891.151,2921.065,2934.897,2910.131,2921.197,2994.96,2905,2917.976,3037.314,2965.346,2913.413
142,2888.425,2921.944,2931.821,2911.197,2921.534,3009.362,2902.757,2920.476,3035.929,2963.522,2912.012
143,2887.062,2921.676,2930.013,2913.219,2917,3003.831,2902.934,2919.121,3033.372,2963.324,2912.917
144,2890.685,2923.102,2935.096,2908.591,2922.375,2995.35,2905.831,2924.016,3031.859,2964.417,2916.288
145,2885.219,2918.532,2928.494,2908.62,2915.726,2991.237,2898.029,2920.016,3035.397,2958.86,2913.4
146,2885.014,2917.88,2932.045,2908.606,2918.639,2989.684,2898.029,2921.895,3032.154,2959.864,2913.708
147,2885.397,2918.458,2929.276,2908.139,2913.721,2995.842,2901.125,2917.194,3030.276,2956.215,2912.058
148,2890.055,2921.028,2928.026,2910.387,2920.586,3001.819,2902.206,2924.903,3033.41,2959.794,2914.354
149,2893.048,2922.745,2933.667,2912.058,2921.005,3000.802,2904.853,2925.564,3038.66,2963.658,2914.958
150,2887.452,2924.227,2936.09,2912.518,2927.077,2994.367,2906.831,2928.742,3028.59,2957.004,2914.646
151,2888.425,2917.94,2930.436,2907.409,2922.889,2997.638,2903.493,2919.814,3026.449,2951.535,2913.633
152,2887.144,2922.88,2930.135,2913.263,2919.711,2983.531,2898.125,2922.145,3026.731,2953.447,2920.575
153,2888.452,2926.056,2935.244,2913.818,2922.279,2996.593,2904.096,2919.976,3034.789,2958.154,2919.85
154,2887.76,2921.199,2932.436,2911.693,2918.918,2992.91,2904.75,2920.137,3022.91,2948.54,2920.796
155,2889.418,2923.681,2932.904,2912.993,2916,2993.39,2902.985,2917.387,3030.628,2942,2920.858
